Clave;Nombre;Asterisco
A000;Cólera debido a Vibrio cholerae 01, biotipo cholerae;F
A001;Cólera debido a Vibrio cholerae 01, biotipo el Tor;F
A009;Cólera, no especificado;F
A010;Fiebre tifoidea;F
A011;Fiebre paratifoidea A;F
A012;Fiebre paratifoidea B;F
A013;Fiebre paratifoidea C;F
A014;Fiebre paratifoidea, no especificada;F
A020;Enteritis debida a Salmonella;F
A021;Sepsis debida a Salmonella;F
A022;Infecciones localizadas debidas a Salmonella;F
A028;Otras infecciones especificadas como debidas a Salmonella;F
A029;Infección debida a Salmonella, no especificada;F
A030;Shigelosis debida a Shigella dysenteriae;F
A031;Shigelosis debida a Shigella flexneri;F
A032;Shigelosis debida a Shigella boydii;F
A033;Shigelosis debida a Shigella sonnei;F
A038;Otras shigelosis;F
A039;Shigelosis de tipo no especificado;F
A040;Infección debida a Escherichia coli enteropatógena;F
A041;Infección debida a Escherichia coli enterotoxígena;F
A042;Infección debida a Escherichia coli enteroinvasiva;F
A043;Infección debida a Escherichia coli enterohemorrágica;F
A044;Otras infecciones intestinales debidas a Escherichia coli;F
A045;Enteritis debida a Campylobacter;F
A046;Enteritis debida a Yersinia enterocolitica;F
A047;Enterocolitis debida a Clostridium difficile;F
A048;Otras infecciones intestinales bacterianas especificadas;F
A049;Infección intestinal bacteriana, no especificada;F
A050;Intoxicación alimentaria estafilocócica;F
A051;Botulismo;F
A052;Intoxicación alimentaria debida a Clostridium perfringens [Clostridium welchii];F
A053;Intoxicación alimentaria debida a Vibrio parahaemolyticus;F
A054;Intoxicación alimentaria debida a Bacillus cereus;F
A058;Otras intoxicaciones alimentarias debidas a bacterias especificadas;F
A059;Intoxicación alimentaria bacteriana, no especificada;F
A060;Disentería amebiana aguda;F
A061;Amebiasis intestinal crónica;F
A062;Colitis amebiana no disentérica;F
A063;Ameboma intestinal;F
A064;Absceso amebiano del hígado;F
A065;Absceso amebiano del pulmón;F
A066;Absceso amebiano del cerebro;F
A067;Amebiasis cutánea;F
A068;Infección amebiana de otras localizaciones;F
A069;Amebiasis, no especificada;F
A070;Balantidiasis;F
A071;Giardiasis [lambliasis];F
A072;Criptosporidiosis;F
A073;Isosporiasis;F
A078;Otras enfermedades intestinales especificadas debidas a protozoarios;F
A079;Enfermedad intestinal debida a protozoarios, no especificada;F
A080;Enteritis debida a rotavirus;F
A081;Gastroenteropatía aguda debida al agente de Norwalk;F
A082;Enteritis debida a adenovirus;F
A083;Otras enteritis virales;F
A084;Infección intestinal viral, sin otra especificación;F
A085;Otras infecciones intestinales especificadas;F
A090;Otras gastroenteritis y colitis de origen infeccioso ;F
A099;Gastroenteritis y colitis de origen no especificado ;F
A150;Tuberculosis del pulmón, confirmada por hallazgo microscópico del bacilo tuberculoso en esputo, con o sin cultivo;F
A151;Tuberculosis del pulmón, confirmada únicamente por cultivo;F
A152;Tuberculosis del pulmón, confirmada histológicamente;F
A153;Tuberculosis del pulmón, confirmada por medios no especificados;F
A154;Tuberculosis de ganglios linfáticos intratorácicos, confirmada bacteriológica e histológicamente;F
A155;Tuberculosis de laringe, traquea y bronquios, confirmada bacteriológica e histológicamente;F
A156;Pleuresía tuberculosa, confirmada bacteriológica e histológicamente;F
A157;Tuberculosis respiratoria primaria, confirmada bacteriológica e histológicamente;F
A158;Otras tuberculosis respiratorias, confirmadas bacteriológica e histológicamente;F
A159;Tuberculosis respiratoria no especificada, confirmada bacteriológica e histológicamente;F
A160;Tuberculosis del pulmón, con examen bacteriológico e histológico negativos;F
A161;Tuberculosis de pulmón, sin examen bacteriológico e histológico;F
A162;Tuberculosis de pulmón, sin mención de confirmación bacteriológica o histológica;F
A163;Tuberculosis de ganglios linfáticos intratorácicos, sin mención de confirmación bacteriológica o histológica;F
A164;Tuberculosis de laringe, traquea y bronquios, sin mención de confirmación bacteriológica o histológica;F
A165;Pleuresía tuberculosa, sin mención de confirmación bacteriológica o histológica;F
A167;Tuberculosis respiratoria primaria, sin mención de confirmación bacteriológica o histológica;F
A168;Otras tuberculosis respiratorias, sin mención de confirmación;F
A169;Tuberculosis respiratoria no especificada, sin mención de confirmación bacteriológica o histológica;F
A170;Meningitis tuberculosa;F
A171;Tuberculoma meníngeo;F
A178;Otras tuberculosis del sistema nervioso;F
A179;Tuberculosis del sistema nervioso, no especificada;F
A180;Tuberculosis de huesos y articulaciones;F
A181;Tuberculosis del aparato genitourinario;F
A182;Linfadenopatía periférica tuberculosa;F
A183;Tuberculosis de los intestinos, el peritoneo y los ganglios mesentéricos;F
A184;Tuberculosis de la piel y el tejido subcutáneo;F
A185;Tuberculosis del ojo;F
A186;Tuberculosis del oído;F
A187;Tuberculosis de glándulas suprarrenales;F
A188;Tuberculosis de otros órganos especificados;F
A190;Tuberculosis miliar aguda de un solo sitio especificado;F
A191;Tuberculosis miliar aguda de sitios múltiples;F
A192;Tuberculosis miliar aguda, no especificada;F
A198;Otras tuberculosis miliares;F
A199;Tuberculosis miliar, sin otra especificación;F
A200;Peste bubónica;F
A201;Peste celulocutánea;F
A202;Peste neumónica;F
A203;Meningitis por peste;F
A207;Peste septicémica;F
A208;Otras formas de peste;F
A209;Peste, no especificada;F
A210;Tularemia ulceroglandular;F
A211;Tularemia oculoglandular;F
A212;Tularemia pulmonar;F
A213;Tularemia gastrointestinal;F
A217;Tularemia generalizada;F
A218;Otras formas de tularemia;F
A219;Tularemia, no especificada;F
A220;Carbunco cutáneo;F
A221;Carbunco pulmonar;F
A222;Carbunco gastrointestinal;F
A227;Carbunco séptico;F
A228;Otras formas de carbunco;F
A229;Carbunco, no especificado;F
A230;Brucelosis debida a Brucella melitensis;F
A231;Brucelosis debida a Brucella abortus;F
A232;Brucelosis debida a Brucella suis;F
A233;Brucelosis debida a Brucella canis;F
A238;Otras brucelosis;F
A239;Brucelosis, no especificada;F
A240;Muermo;F
A241;Melioidosis aguda y fulminante;F
A242;Melioidosis subaguda y crónica;F
A243;Otras melioidosis;F
A244;Melioidosis, no especificada;F
A250;Espirilosis;F
A251;Estreptobacilosis;F
A259;Fiebre por mordedura de rata, no especificada;F
A260;Erisipeloide cutáneo;F
A267;Sepsis por Erysipelothrix;F
A268;Otras formas de erisipeloide;F
A269;Erisipeloide, no especificada;F
A270;Leptospirosis icterohemorrágica;F
A278;Otras formas de leptospirosis;F
A279;Leptospirosis, no especificada;F
A280;Pasteurelosis;F
A281;Enfermedad por rasguño de gato;F
A282;Yersiniosis extraintestinal;F
A288;Otras enfermedades zoonóticas bacterianas especificadas, no clasificadas en otra parte;F
A289;Enfermedad zoonótica bacteriana, sin otra especificación;F
A300;Lepra indeterminada;F
A301;Lepra tuberculoide;F
A302;Lepra tuberculoide limítrofe;F
A303;Lepra limítrofe;F
A304;Lepra lepromatosa limítrofe;F
A305;Lepra lepromatosa;F
A308;Otras formas de lepra;F
A309;Lepra, no especificada;F
A310;Infecciones por micobacterias pulmonares;F
A311;Infección cutánea por micobacterias;F
A318;Otras infecciones por micobacterias;F
A319;Infección por micobacteria, no especificada;F
A320;Listeriosis cutánea;F
A321;Meningitis y meningoencefalitis listeriana;F
A327;Sepsis listeriana;F
A328;Otras formas de listeriosis;F
A329;Listeriosis, no especificada;F
A33X;Tétanos neonatal;F
A34X;Tétanos obstétrico;F
A35X;Otros tétanos;F
A360;Difteria faríngea;F
A361;Difteria nasofaríngea;F
A362;Difteria laríngea;F
A363;Difteria cutánea;F
A368;Otras difterias;F
A369;Difteria, no especificada;F
A370;Tos ferina debida a Bordetella pertussis;F
A371;Tos ferina debida a Bordetella parapertussis;F
A378;Tos ferina debida a otras especies de Bordetella;F
A379;Tos ferina, no especificada;F
A38X;Escarlatina;F
A390;Meningitis meningocócica;F
A391;Síndrome de Waterhouse-Friderichsen;F
A392;Meningococemia aguda;F
A393;Meningococemia crónica;F
