2013 3d	2013 4d	descripcion	actual 3d	actual 4d
NULL	NULL	DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO	A09	X
NULL	NULL	TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS	C80	X
NULL	NULL	LINFOMA NO HODGKIN MIXTO, DE CELULAS PEQUEÑAS Y GRANDES (DIFUSO)	C83	2
NULL	NULL	LINFOMA NO HODGKIN INMUNOBLASTICO (DIFUSO)	C83	4
NULL	NULL	LINFOMA NO HODGKIN INDIFERENCIADO (DIFUSO)	C83	6
NULL	NULL	LINFOMA DE ZONA T	C84	2
NULL	NULL	LINFOMA LINFOEPITELIOIDE	C84	3
NULL	NULL	LINFOSARCOMA	C85	0
NULL	NULL	ENFERMEDAD DE CADENA PESADA ALFA	C88	1
NULL	NULL	LEUCEMIA LINFOCITICA SUBAGUDA	C91	2
NULL	NULL	LEUCEMIA MONOCITICA SUBAGUDA	C93	2
NULL	NULL	ERITREMIA CRONICA	C94	1
NULL	NULL	MIELOFIBROSIS AGUDA	C94	5
NULL	NULL	LEUCEMIA SUBAGUDA, CELULAS DE TIPO NO ESPECIFICADO	C95	2
NULL	NULL	HISTIOCITOSIS MALIGNA	C96	1
NULL	NULL	LINFOMA HISTIOCITICO VERDADERO	C96	3
NULL	NULL	ANEMIA REFRACTARIA CON EXCESO DE BLASTOS CON TRANSFORMACION	D46	3
NULL	NULL	TROMBOCITOSIS ESENCIAL	D75	2
NULL	NULL	HISTIOCITOSIS DE LAS CELULAS DE LANGERHANS, NO CLASIFICADA EN OTRA PARTE	D76	0
NULL	NULL	DISMINUCION DE LA AGUDEZA VISUAL, SIN ESPECIFICACION	H54	7
NULL	NULL	FIBRILACION Y ALETEO AURICULAR	I48	X
NULL	NULL	HEMORROIDES INTERNAS TROMBOSADAS	I84	0
NULL	NULL	HEMORROIDES INTERNAS CON OTRAS COMPLICACIONES	I84	1
NULL	NULL	HEMORROIDES INTERNAS SIN COMPLICACION	I84	2
NULL	NULL	HEMORROIDES EXTERNAS TROMBOSADAS	I84	3
NULL	NULL	HEMORROIDES EXTERNAS CON OTRAS COMPLICACIONES	I84	4
NULL	NULL	HEMORROIDES EXTERNAS SIN COMPLICACION	I84	5
NULL	NULL	PROMINENCIAS CUTANEAS, RESIDUO DE HEMORROIDES	I84	6
