"4";"2";"CIUDAD DE ROSARIO SUDOESTE"
"4";"3";"CIUDAD DE ROSARIO SUR"
"3";"2";"SANTO TOME"
"3";"3";"LA COSTA"
"3";"8";"SAN JUSTO"
"3";"7";"ESPERANZA"
"3";"6";"SAN CARLOS CENTRO"
"3";"5";"HELVECIA"
"4";"4";"LINEA CASILDA- CHABAS -ARTEAGA"
"3";"4";"GALVEZ"
"5";"1";"NO DEFINIDO"
"4";"1";"NO DEFINIDO"
"3";"1";"NO DEFINIDO"
"2";"1";"NO DEFINIDO"
"1";"1";"NO DEFINIDO"
"3";"9";"SAN JAVIER"
"3";"10";"NORTE"
"3";"11";"CENTRO"
"3";"12";"SUR"
"3";"13";"PROTOMEDICO"
"4";"5";"CIUDAD DE ROSARIO NOROESTE"
"4";"6";"CIUDAD DE ROSARIO OESTE"
"4";"7";"SAN MARTÍN"
"4";"8";"CAÑADA DE GOMEZ"
"4";"9";"DEPTO. CONSTITUCION"
"4";"10";"SAN JERÓNIMO SUR, IRIONDO ESTE Y SAN LORENZO NORTE"
"4";"11";"ROSARIO Y SAN LORENZO SUR"
"4";"12";"CIUDAD DE ROSARIO CENTRO"
"4";"13";"CIUDAD DE ROSARIO NORTE"
"1";"2";"DEPTO. CONSTITUCION"
"1";"3";"DEPTO. CONSTITUCION"
"3";"14";"SAN CARLOS"
"3";"15";"SAN CARLOS"
"3";"16";"CORONDA"
"3";"17";"BARRANCAS"
