servicio;sector;subsector;area;claveestd;tipoest;tipo_servicio;dd_apertura;mm_apertura;aaaa_apertura;dd_cierre;mm_cierre;aaaa_cierre;
070;3;4;000;00700016;0;1;01;01;2008;00;00;0000;
070;3;4;070;00700016;0;1;01;01;2008;00;00;0000;
200;3;4;000;00700016;0;1;01;01;2008;00;00;0000;
200;3;4;200;00700016;0;1;01;01;2008;00;00;0000;
320;3;4;000;00700016;0;1;01;01;2008;00;00;0000;
320;3;4;320;00700016;0;1;01;01;2008;00;00;0000;
100;3;4;000;00700041;0;1;01;01;2008;00;00;0000;
100;3;4;100;00700041;0;1;01;01;2008;00;00;0000;
070;3;4;000;00700067;0;1;01;01;2009;00;00;0000;
070;3;4;070;00700067;0;1;01;01;2009;00;00;0000;
100;3;4;000;00700067;0;1;01;01;2009;00;00;0000;
100;3;4;100;00700067;0;1;01;01;2009;00;00;0000;
200;3;4;000;00700067;0;1;01;01;2008;00;00;0000;
200;3;4;200;00700067;0;1;01;01;2008;00;00;0000;
070;3;4;000;00700075;0;1;01;01;2008;00;00;0000;
070;3;4;070;00700075;0;1;01;01;2008;00;00;0000;
100;3;4;000;00700075;0;1;01;01;2008;00;00;0000;
100;3;4;100;00700075;0;1;01;01;2008;00;00;0000;
101;3;4;000;00700075;0;1;01;01;2008;00;00;0000;
101;3;4;101;00700075;0;1;01;01;2008;00;00;0000;
245;2;4;000;00700075;0;1;01;01;2008;00;00;0000;
245;2;4;245;00700075;0;1;01;01;2008;00;00;0000;
200;3;4;000;00700083;0;1;01;01;2008;00;00;0000;
200;3;4;200;00700083;0;1;01;01;2008;00;00;0000;
200;3;4;000;00700091;0;1;01;01;2008;00;00;0000;
200;3;4;200;00700091;0;1;01;01;2008;00;00;0000;
100;3;4;000;01400016;0;1;01;01;2008;00;00;0000;
100;3;4;100;01400016;0;1;01;01;2008;00;00;0000;
150;3;4;000;01400016;0;1;01;01;2008;00;00;0000;
150;3;4;150;01400016;0;2;01;01;2008;00;00;0000;
100;3;4;000;01400024;0;1;01;01;2008;00;00;0000;
100;3;4;100;01400024;0;1;01;01;2008;00;00;0000;
101;3;4;000;01400032;0;1;01;01;2008;00;00;0000;
101;3;4;101;01400032;0;1;01;01;2008;00;00;0000;
150;3;4;000;01400032;0;1;01;01;2008;00;00;0000;
150;3;4;150;01400032;0;2;01;01;2008;00;00;0000;
200;3;4;000;01400032;0;1;01;01;2008;00;00;0000;
200;3;4;200;01400032;0;1;01;01;2008;00;00;0000;
101;3;4;000;01400041;0;1;01;01;2008;00;00;0000;
101;3;4;101;01400041;0;1;01;01;2008;00;00;0000;
150;1;4;000;01400041;0;1;01;01;2008;00;00;0000;
150;1;4;150;01400041;0;1;01;01;2008;00;00;0000;
150;2;4;000;01400041;0;1;01;01;2008;00;00;0000;
150;2;4;150;01400041;0;1;01;01;2008;00;00;0000;
150;3;4;000;01400041;0;1;01;01;2008;00;00;0000;
150;3;4;150;01400041;0;2;01;01;2008;00;00;0000;
200;3;4;000;01400041;0;1;01;01;2008;00;00;0000;
200;3;4;200;01400041;0;1;01;01;2008;00;00;0000;
245;2;4;000;01400041;0;1;01;01;2008;00;00;0000;
245;2;4;245;01400041;0;1;01;01;2008;00;00;0000;
320;3;4;000;01400041;0;1;01;01;2008;00;00;0000;
320;3;4;320;01400041;0;1;01;01;2008;00;00;0000;
200;3;4;000;01400075;0;1;01;01;2008;00;00;0000;
200;3;4;200;01400075;0;1;01;01;2008;00;00;0000;
200;3;4;000;01400091;0;1;01;01;2008;00;00;0000;
200;3;4;200;01400091;0;1;01;01;2008;00;00;0000;
200;3;4;000;01400113;0;1;01;01;2008;00;00;0000;
200;3;4;200;01400113;0;1;01;01;2008;00;00;0000;
100;3;4;000;01400121;0;1;01;01;2008;00;00;0000;
100;3;4;100;01400121;0;1;01;01;2008;00;00;0000;
200;3;4;000;01400130;0;1;01;01;2008;00;00;0000;
200;3;4;200;01400130;0;1;01;01;2008;00;00;0000;
200;3;4;000;01400288;0;1;01;01;2008;00;00;0000;
200;3;4;200;01400288;0;1;01;01;2008;00;00;0000;
200;3;4;000;02100253;0;1;01;01;2008;00;00;0000;
200;3;4;200;02100253;0;1;01;01;2008;00;00;0000;
070;3;4;000;02100351;0;1;01;01;2008;00;00;0000;
070;3;4;070;02100351;0;1;01;01;2008;00;00;0000;
100;3;4;000;02100351;0;1;01;01;2008;00;00;0000;
100;3;4;100;02100351;0;1;01;01;2008;00;00;0000;
101;3;4;000;02100351;0;1;01;01;2008;00;00;0000;
101;3;4;101;02100351;0;1;01;01;2008;00;00;0000;
225;3;4;000;02100351;0;1;01;01;2008;00;00;0000;
225;3;4;225;02100351;0;1;01;01;2008;00;00;0000;
285;2;4;000;02100351;0;1;01;01;2008;00;00;0000;
285;2;4;285;02100351;0;1;01;01;2008;00;00;0000;
295;3;4;000;02100351;0;1;01;01;2008;00;00;0000;
295;3;4;295;02100351;0;1;01;01;2008;00;00;0000;
320;3;4;000;02100351;0;1;01;01;2008;00;00;0000;
320;3;4;320;02100351;0;1;01;01;2008;00;00;0000;
200;3;4;000;02100415;0;1;01;01;2008;00;00;0000;
200;3;4;200;02100415;0;1;01;01;2008;00;00;0000;
200;3;4;000;02100440;0;1;01;01;2008;00;00;0000;
200;3;4;200;02100440;0;1;01;01;2008;00;00;0000;
070;3;4;000;02100466;0;1;01;01;2008;00;00;0000;
070;3;4;070;02100466;0;1;01;01;2008;00;00;0000;
100;3;4;000;02100466;0;1;01;01;2008;00;00;0000;
100;3;4;100;02100466;0;1;01;01;2008;00;00;0000;
101;3;4;000;02100466;0;1;01;01;2008;00;00;0000;
101;3;4;101;02100466;0;1;01;01;2008;00;00;0000;
285;2;4;000;02100466;0;1;01;01;2008;00;00;0000;
285;2;4;285;02100466;0;1;01;01;2008;00;00;0000;
200;3;4;000;02800018;0;1;01;01;2008;00;00;0000;
200;3;4;200;02800018;0;1;01;01;2008;00;00;0000;
200;3;4;000;02800026;0;1;01;01;2008;00;00;0000;
200;3;4;200;02800026;0;1;01;01;2008;00;00;0000;
200;3;4;000;02800077;0;1;01;01;2008;00;00;0000;
200;3;4;200;02800077;0;1;01;01;2008;00;00;0000;
150;3;4;000;02800093;8;1;01;01;2008;00;00;0000;
150;3;4;150;02800093;8;2;01;01;2008;00;00;0000;
200;3;4;000;02800093;8;1;01;01;2008;00;00;0000;
200;3;4;200;02800093;8;1;01;01;2008;00;00;0000;
100;3;4;000;02800131;0;1;01;01;2008;00;00;0000;
100;3;4;100;02800131;0;1;01;01;2008;00;00;0000;
101;3;4;000;02800131;0;1;01;01;2008;00;00;0000;
101;3;4;101;02800131;0;1;01;01;2008;00;00;0000;
115;3;4;000;02800131;0;1;01;01;2008;00;00;0000;
115;3;4;115;02800131;0;1;01;01;2008;00;00;0000;
225;3;4;000;02800131;0;1;01;01;2008;00;00;0000;
225;3;4;225;02800131;0;1;01;01;2008;00;00;0000;
245;2;4;000;02800131;0;1;01;01;2008;00;00;0000;
245;2;4;245;02800131;0;1;01;01;2008;00;00;0000;
320;3;4;000;02800131;0;1;01;01;2008;00;00;0000;
320;3;4;320;02800131;0;1;01;01;2008;00;00;0000;
200;3;4;000;03500018;0;1;01;01;2008;00;00;0000;
200;3;4;200;03500018;0;1;01;01;2008;00;00;0000;
200;3;4;000;03500026;0;1;01;01;2008;00;00;0000;
200;3;4;200;03500026;0;1;01;01;2008;00;00;0000;
200;3;4;000;03500034;0;1;01;01;2008;00;00;0000;
200;3;4;200;03500034;0;1;01;01;2008;00;00;0000;
200;3;4;000;03500042;0;1;01;01;2008;00;00;0000;
200;3;4;200;03500042;0;1;01;01;2008;00;00;0000;
150;3;4;000;04200077;0;1;01;01;2008;00;00;0000;
150;3;4;150;04200077;0;2;01;01;2008;00;00;0000;
200;3;4;000;04200077;0;1;01;01;2008;00;00;0000;
200;3;4;200;04200077;0;1;01;01;2008;00;00;0000;
070;3;4;000;04200107;0;1;01;01;2008;00;00;0000;
070;3;4;070;04200107;0;1;01;01;2008;00;00;0000;
100;1;4;000;04200107;0;1;01;01;2008;00;00;0000;
100;1;4;100;04200107;0;1;01;01;2008;00;00;0000;
100;2;4;000;04200107;0;1;01;01;2008;00;00;0000;
100;2;4;100;04200107;0;1;01;01;2008;00;00;0000;
101;3;4;000;04200107;0;1;01;01;2008;00;00;0000;
101;3;4;101;04200107;0;1;01;01;2008;00;00;0000;
245;2;4;000;04200107;0;1;01;01;2008;00;00;0000;
245;2;4;245;04200107;0;1;01;01;2008;00;00;0000;
320;3;4;000;04200107;0;1;01;01;2008;00;00;0000;
320;3;4;320;04200107;0;1;01;01;2008;00;00;0000;
200;3;4;000;04200158;0;1;01;01;2008;00;00;0000;
200;3;4;200;04200158;0;1;01;01;2008;00;00;0000;
150;3;4;000;04200191;0;1;01;01;2008;00;00;0000;
150;3;4;150;04200191;0;2;01;01;2008;00;00;0000;
200;3;4;000;04200191;0;1;01;01;2008;00;00;0000;
200;3;4;200;04200191;0;1;01;01;2008;00;00;0000;
150;3;4;000;04200204;0;1;01;01;2008;00;00;0000;
150;3;4;150;04200204;0;2;01;01;2008;00;00;0000;
200;3;4;000;04200204;0;1;01;01;2008;00;00;0000;
200;3;4;200;04200204;0;1;01;01;2008;00;00;0000;
070;3;4;000;04200255;0;1;01;01;2008;00;00;0000;
070;3;4;070;04200255;0;1;01;01;2008;00;00;0000;
