rnos_hmi	rnos_gob_cordoba	nom_os_hmi	nom_os_gob_cordoba
NULL	001409	NULL	MUTUAL DEL PERSONAL DE AGUA Y ENERGIA ELECTRICA DE
NULL	921001	NULL	O.S.P. NEUQUEN
NULL	922001	NULL	O.S.P. RIO NEGRO (IPROSS)
NULL	910001	NULL	O.S.P. SALTA (IPS)
NULL	911001	NULL	O.S.P. SAN JUAN
NULL	912001	NULL	O.S.P. SAN LUIS
NULL	923001	NULL	O.S.P. SANTA CRUZ
NULL	913001	NULL	O.S.P. SANTA FE (IAPOSS)
NULL	914001	NULL	O.S.P. SANTIAGO DEL ESTERO (IOSEP)
NULL	924001	NULL	O.S.P. TIERRA DEL FUEGO(IPAUSS)
NULL	915001	NULL	O.S.P. TUCUMAN (IPSST)
NULL	303802	NULL	OBRA SOCIAL ARBITROS DE FUTBOL ARG.
NULL	402608	NULL	OBRA SOCIAL ASOCIACION DE SERVICIOS SOCIALES PARA 
NULL	920001	NULL	O.S.P. MISIONES (IPS)
NULL	909001	NULL	O.S.P. MENDOZA
NULL	902001	NULL	O.S.P. BUENOS AIRES (IOMA)
NULL	903001	NULL	O.S.P. CATAMARCA (OSEP)
NULL	917001	NULL	O.S.P. CHUBUT (SEROS)
NULL	901001	NULL	O.S.P. CIUDAD AUT. DE BUENOS AIRES
NULL	904001	NULL	O.S.P. CORDOBA (APROSS)
NULL	905001	NULL	O.S.P. CORRIENTES (IOSCOR)
NULL	906001	NULL	O.S.P. ENTRE RIOS (IOSPER)
NULL	918002	NULL	O.S.P. FORMOSA (AMP)
NULL	918001	NULL	O.S.P. FORMOSA (IMPF)
NULL	907001	NULL	O.S.P. JUJUY (ISJ)
NULL	919001	NULL	O.S.P. LA PAMPA (SEMPRE)
NULL	908001	NULL	O.S.P. LA RIOJA
NULL	126700	NULL	OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD AZUCARERA
NULL	002907	NULL	OBRA SOCIAL ASOCIACION MUTUAL METALURGICA VILLA CO
NULL	126601	NULL	OBRA SOCIAL DEL PERSONAL DE INDUSTRIAS  QUIMICAS Y
NULL	127000	NULL	OBRA SOCIAL DE TRABAJADORES DE ESTACIONES DE SERVI
NULL	127406	NULL	OBRA SOCIAL DE OBREROS Y EMPLEADOS TINTOREROS SOMB
NULL	002501	NULL	OBRA SOCIAL DE MINISTROS, SECRETARIOS Y SUBSECRETA
NULL	127208	NULL	OBRA SOCIAL DE MANDOS MEDIOS DE TELECOMUNICACIONES
NULL	001805	NULL	OBRA SOCIAL DE LOS  LEGISLADORES DE LA REPUBLICA A
NULL	002600	NULL	OBRA SOCIAL DE LOS TRABAJADORES DE LA CARNE Y AFIN
NULL	002709	NULL	OBRA SOCIAL DE LOS TRABAJADORES ASOCIADOS A LA ASO
NULL	001508	NULL	OBRA SOCIAL DE LA ASOCIACION CIVIL PROSINDICATO DE
NULL	002808	NULL	OBRA SOCIAL DE LA CAMARA DE EMPRESARIOS DE AGENCIA
NULL	126502	NULL	OBRA SOCIAL DE LA CONFEDERACION DE OBREROS Y EMPLE
NULL	126908	NULL	OBRA SOCIAL DE LOS MEDICOS DE LA CIUDAD DE BUENOS 
NULL	003108	NULL	OBRA SOCIAL DE LOS INMIGRANTES ESPAÑOLES Y SUS DES
NULL	002204	NULL	OBRA SOCIAL DE EMPLEADOS Y PERSONAL JERARQUICO  DE
NULL	124308	NULL	OBRA SOCIAL DE EMPLEADOS Y OBREROS GASTRONOMICOS D
NULL	125202	NULL	OBRA SOCIAL CAPITANES
NULL	003009	NULL	OBRA SOCIAL DEL PERSONAL ASOCIADO A ASOCIACION MUT
NULL	510204	NULL	OBRA SOCIAL DE LA UNIVERSIDAD NACIONAL DEL LITORAL
NULL	126809	NULL	OBRA SOCIAL DE CONDUCTORES DE REMISES Y AUTOS AL I
NULL	402707	NULL	OBRA SOCIAL DE DIRECCION
